f_name,l_name,gender,area_code,phone,city,state,zip,marital_status,has_child,salary,rate,single_exemp,married_exemp,child_exemp,isDirty,errRule,errCol,pk
Kalique,Cucka,M,786,927-1875,TAMPA,FL,33689,S,N,25000,0.0,0,0,0,True,;Incorrect_Format,;rate,102643
Jogesh,Meinke,M,334,721-8523,FLORENCE,AL,35631,M,N,90000,5.0,0,3000,0,True,;Incorrect_Format,;rate,110513
Anind,Baptiste,M,314,691-1817,SAINT LOUIS,MO,63135,M,N,15000,6.0,0,4200,0,True,;Incorrect_Format,;rate,76999
Mahmoud,Haasis,M,754,721-6898,WILLISTON,FL,32696,M,N,65000,0.0,0,0,0,True,;Incorrect_Format,;rate,109766
Yassine,McGovern,M,971,805-9053,PORTLAND,OR,97230,M,N,10000,9.0,0,318,0,True,;Incorrect_Format,;rate,82614
Sumathi,Sweller,F,417,238-8862,MOBERLY,MO,65270,S,Y,90000,6.0,2100,0,1200,True,;Incorrect_Format,;rate,35037
Jens,Stockus,M,907,248-8989,MEYERS CHUCK,AK,99903,M,N,50000,0.0,0,0,0,True,;Incorrect_Format,;rate,16809
Guttorm,Abramov,M,417,105-9358,QULIN,MO,63961,M,N,85000,6.0,0,4200,0,True,;Incorrect_Format,;rate,21943
Ilham,Schweikhardt,F,971,653-4432,PORTLAND,OR,97224,S,Y,85000,9.0,159,0,159,True,;Incorrect_Format,;rate,179074
Amer,Kneece,M,731,668-2227,KNOXVILLE,TN,37933,M,Y,30000,0.0,0,0,0,True,;Incorrect_Format,;rate,119531
Benn,Facello,F,601,566-5157,MC CALL CREEK,MS,39647,M,Y,80000,5.0,0,12000,1500,True,;Incorrect_Format,;rate,73252
Ingar,Mutzel,M,941,499-2449,MIDDLEBURG,FL,32050,S,N,20000,0.0,0,0,0,True,;Incorrect_Format,;rate,108832
Takahito,Krabbel,F,206,823-4783,MOHLER,WA,99154,M,N,35000,0.0,0,0,0,True,;Incorrect_Format,;rate,12483
Richard,Raab,F,256,960-7996,CITRONELLE,AL,36522,S,Y,10000,5.0,1500,0,300,True,;Incorrect_Format,;rate,39891
Inguna,Pyreddy,F,304,638-7786,MABSCOTT,WV,25871,M,Y,10000,3.0,0,4000,2000,True,;Incorrect_Format,;rate,8053
Veronika,Galatescu,F,360,843-3209,LAMONA,WA,99144,S,Y,75000,0.0,0,0,0,True,;Incorrect_Format,;rate,85348
Fairouz,Coscoy,M,305,434-5393,MIAMI,FL,33182,M,N,30000,0.0,0,0,0,True,;Incorrect_Format,;rate,30599
Uzi,Pilouk,M,985,415-8977,SAINT AMANT,LA,70774,S,Y,50000,6.0,4500,0,1000,True,;Incorrect_Format,;rate,90085
Zhiping,Cappo,F,217,626-1065,KINMUNDY,IL,62854,S,Y,80000,3.0,2000,0,2000,True,;Incorrect_Format,;rate,180400
Aviezri,Virbel,M,850,669-4837,MIAMI,FL,33131,S,Y,40000,0.0,0,0,0,True,;Incorrect_Format,;rate,174627
Haralampos,Meckler,M,931,542-2090,COVINGTON,TN,38019,M,Y,75000,0.0,0,0,0,True,;Incorrect_Format,;rate,148173
Yukio,Suwunboriruksa,F,435,301-4228,SUMMIT,UT,84772,S,Y,95000,7.0,2475,0,2475,True,;Incorrect_Format,;rate,17870
Vangalur,Cusack,M,954,860-4381,MEXICO BEACH,FL,32410,M,Y,15000,0.0,0,0,0,True,;Incorrect_Format,;rate,72779
Delgado,Petroski,F,256,722-9512,KILLEN,AL,35645,S,N,25000,5.0,1500,0,0,True,;Incorrect_Format,;rate,7350
Niall,Mankoff,M,605,818-9086,DELMONT,SD,57330,M,N,40000,0.0,0,0,0,True,;Incorrect_Format,;rate,51515
Wafi,Simkin,M,307,737-4770,HANNA,WY,82327,S,N,80000,0.0,0,0,0,True,;Incorrect_Format,;rate,120410
Lubor,Stocker,M,863,979-7460,GULF BREEZE,FL,32561,S,Y,90000,0.0,0,0,0,True,;Incorrect_Format,;rate,38082
Ildiko,Ying,F,360,878-6022,SEATTLE,WA,98127,M,Y,45000,0.0,0,0,0,True,;Incorrect_Format,;rate,195769
Hugh,Baja,F,702,527-1976,LAS VEGAS,NV,89195,M,Y,20000,0.0,0,0,0,True,;Incorrect_Format,;rate,96823
Laure,Aingworth,M,307,656-2063,LYSITE,WY,82642,S,N,75000,0.0,0,0,0,True,;Incorrect_Format,;rate,179017
Liliane,Feber,F,605,539-9642,BATH,SD,57427,S,Y,15000,0.0,0,0,0,True,;Incorrect_Format,;rate,108541
Leandros,Larin,M,202,328-7074,WASHINGTON,DC,20535,M,Y,90000,9.0,0,2740,1370,True,;Incorrect_Format,;rate,166375
Kazuhira,Quiles,F,702,689-2066,SPARKS,NV,89435,M,N,20000,0.0,0,0,0,True,;Incorrect_Format,;rate,123897
Slava,Aronsson,M,605,530-6704,HURON,SD,57399,M,Y,25000,0.0,0,0,0,True,;Incorrect_Format,;rate,152176
Mohsin,Salvaneschi,F,605,517-3521,BALTIC,SD,57003,M,Y,85000,0.0,0,0,0,True,;Incorrect_Format,;rate,78723
Kazukuni,Post,M,509,234-5648,SAMMAMISH,WA,98074,S,N,95000,0.0,0,0,0,True,;Incorrect_Format,;rate,188277
Mikito,Lindberg,M,660,130-4654,LATHROP,MO,64465,S,Y,75000,6.0,2100,0,1200,True,;Incorrect_Format,;rate,28992
Gregoria,Stabl,F,430,984-2776,EL PASO,TX,88595,M,Y,50000,0.0,0,0,0,True,;Incorrect_Format,;rate,159488
Aral,Wigg,M,307,198-9713,VETERAN,WY,82243,S,N,75000,0.0,0,0,0,True,;Incorrect_Format,;rate,72587
Zhiqun,Zisapel,F,605,709-7421,DAVIS,SD,57021,S,Y,70000,0.0,0,0,0,True,;Incorrect_Format,;rate,53075
Billie,Heeffer,M,605,979-2937,JEFFERSON,SD,57038,S,Y,35000,0.0,0,0,0,True,;Incorrect_Format,;rate,83610
Akis,Baptiste,M,228,454-8544,NEWHEBRON,MS,39140,M,Y,90000,5.0,0,12000,1500,True,;Incorrect_Format,;rate,38926
Xuefei,Lueh,M,815,404-1148,DOVER,IL,61323,S,N,5000,3.0,2000,0,0,True,;Incorrect_Format,;rate,25373
Friedrich,Leufke,F,312,566-5408,ROCKFORD,IL,61104,M,N,85000,3.0,0,4000,0,True,;Incorrect_Format,;rate,130338
Lorrin,Sullins,F,304,468-8265,BIG BEND,WV,26136,M,Y,10000,3.0,0,4000,2000,True,;Incorrect_Format,;rate,31898
Gunes,Cramer,F,910,664-4483,GREENSBORO,NC,27406,S,Y,5000,6.0,3300,0,3300,True,;Incorrect_Format,;rate,127655
Milt,Massonet,M,337,321-5592,SHREVEPORT,LA,71148,S,N,10000,2.0,4500,0,0,True,;Incorrect_Format,;rate,167351
Walcelio,Balfanz,F,704,599-1010,CHARLOTTE,NC,28277,S,Y,10000,6.0,3300,0,3300,True,;Incorrect_Format,;rate,35817
Masum,Kamber,M,678,515-6597,ATLANTA,GA,30309,S,Y,10000,6.0,2700,0,3000,True,;Incorrect_Format,;rate,188684
Brenton,Kohri,F,615,344-8368,LUTTRELL,TN,37779,S,N,85000,0.0,0,0,0,True,;Incorrect_Format,;rate,163500
Rabah,Kobler,M,202,163-6475,WASHINGTON,DC,20521,M,Y,95000,9.0,0,2740,1370,True,;Incorrect_Format,;rate,82990
Hongki,Tchernykh,M,901,437-4122,FALL BRANCH,TN,37656,S,Y,65000,0.0,0,0,0,True,;Incorrect_Format,;rate,38191
Bhagirath,Hazony,F,435,717-3871,SALT LAKE CITY,UT,84107,M,Y,40000,7.0,0,4950,2475,True,;Incorrect_Format,;rate,3549
Xien,Masuhara,M,281,613-9924,MILLICAN,TX,77866,M,N,85000,0.0,0,0,0,True,;Incorrect_Format,;rate,60592
Ioana,Lanteri,F,605,194-9624,SIOUX FALLS,SD,57103,M,N,35000,0.0,0,0,0,True,;Incorrect_Format,;rate,165291
Stana,Vainstein,M,731,264-3188,CORRYTON,TN,37721,M,Y,80000,0.0,0,0,0,True,;Incorrect_Format,;rate,139231
Kenko,Kapralski,F,605,873-2899,TRIPP,SD,57376,M,Y,90000,0.0,0,0,0,True,;Incorrect_Format,;rate,81204
Gus,Diekema,M,636,738-8202,DEERING,MO,63840,S,Y,20000,6.0,2100,0,1200,True,;Incorrect_Format,;rate,38012
Katarzyna,Beh,F,214,112-5838,BISHOP,TX,78343,S,Y,45000,0.0,0,0,0,True,;Incorrect_Format,;rate,152112
Munir,Acevedo,M,435,577-5349,EUREKA,UT,84628,M,N,10000,7.0,0,4950,0,True,;Incorrect_Format,;rate,144016
Jeeho,Multani,M,843,593-3106,COLUMBIA,SC,29292,M,Y,100000,7.0,0,6600,3300,True,;Incorrect_Format,;rate,118212
Petar,Meinke,F,912,712-1916,MORROW,GA,30287,M,N,45000,6.0,0,5400,0,True,;Incorrect_Format,;rate,56181
Djordje,Niinomi,M,660,223-6143,MONTREAL,MO,65591,M,N,75000,6.0,0,4200,0,True,;Incorrect_Format,;rate,91298
Allen,Bark,F,865,549-9157,BOGOTA,TN,38007,M,N,100000,0.0,0,0,0,True,;Incorrect_Format,;rate,193242
Jieyu,Kuchenhoff,M,239,833-4881,MIAMI,FL,33255,S,Y,65000,0.0,0,0,0,True,;Incorrect_Format,;rate,117789
Harjinder,Pinotti,M,702,932-4672,HENDERSON,NV,89052,S,N,35000,0.0,0,0,0,True,;Incorrect_Format,;rate,90066
Tohgoroh,Sadahiro,M,901,772-9875,KNOXVILLE,TN,37998,S,N,80000,0.0,0,0,0,True,;Incorrect_Format,;rate,194871
Christinger,Andradas,F,702,592-6505,LAS VEGAS,NV,89165,M,Y,50000,0.0,0,0,0,True,;Incorrect_Format,;rate,119793
Kumar,Reif,M,318,171-3961,PORT SULPHUR,LA,70083,S,Y,30000,6.0,4500,0,1000,True,;Incorrect_Format,;rate,23024
Rusong,Kabatianski,M,864,924-8633,ANDERSON,SC,29622,S,N,75000,7.0,3300,0,0,True,;Incorrect_Format,;rate,195506
Lanju,Lorys,F,803,492-1901,CONVERSE,SC,29329,S,Y,95000,7.0,3300,0,3300,True,;Incorrect_Format,;rate,94371
Junhui,Leverett,M,843,385-6115,LEXINGTON,SC,29072,M,Y,20000,7.0,0,6600,3300,True,;Incorrect_Format,;rate,183214
Chuzo,Marsiglia,F,504,397-4353,LACOMBE,LA,70445,M,Y,50000,6.0,0,9000,1000,True,;Incorrect_Format,;rate,138874
Aelmut,Mobasher,M,417,229-8037,BARNHART,MO,63012,S,N,70000,6.0,2100,0,0,True,;Incorrect_Format,;rate,126919
Guohong,Devos,M,479,443-4800,PINE BLUFF,AR,71613,S,Y,95000,7.0,20,0,20,True,;Incorrect_Format,;rate,32357
Fabrice,Sowerbutts,F,559,949-6405,DOWNEY,CA,90241,M,Y,5000,1.0,0,174,272,True,;Incorrect_Format,;rate,42733
Serafim,Leufke,F,224,656-6831,CHICAGO,IL,60625,M,Y,50000,3.0,0,4000,2000,True,;Incorrect_Format,;rate,188157
Manoochehr,Waligora,F,605,176-9009,BRYANT,SD,57221,S,N,35000,0.0,0,0,0,True,;Incorrect_Format,;rate,29911
Jamshid,Wohlleber,M,615,597-8396,HARRIMAN,TN,37748,M,Y,30000,0.0,0,0,0,True,;Incorrect_Format,;rate,122330
Kare,Jacquet,M,202,780-4628,WASHINGTON,DC,20404,S,Y,40000,9.0,1370,0,1370,True,;Incorrect_Format,;rate,119275
Heeju,Balard,M,309,561-3925,MATTESON,IL,60443,S,Y,80000,3.0,2000,0,2000,True,;Incorrect_Format,;rate,15635
Yoshikuni,Mojana,M,337,273-3572,GRAMBLING,LA,71245,M,N,55000,6.0,0,9000,0,True,;Incorrect_Format,;rate,97768
Piergiulio,Widmer,M,334,536-2195,TYLER,AL,36785,M,N,90000,5.0,0,3000,0,True,;Incorrect_Format,;rate,137253
Sahar,Marcken,M,830,670-6322,HOUSTON,TX,77044,M,N,30000,0.0,0,0,0,True,;Incorrect_Format,;rate,187199
Yunyao,Ayari,F,509,385-6528,SEATTLE,WA,98121,S,Y,90000,0.0,0,0,0,True,;Incorrect_Format,;rate,66543
Nello,Salowe,M,307,651-6032,BUFORD,WY,82052,M,N,50000,0.0,0,0,0,True,;Incorrect_Format,;rate,29235
Yukinori,Pashtan,F,504,386-1568,JONESVILLE,LA,71343,S,Y,90000,6.0,4500,0,1000,True,;Incorrect_Format,;rate,192959
Noppanunt,Sawada,F,605,731-6432,CASTLEWOOD,SD,57223,S,N,90000,0.0,0,0,0,True,;Incorrect_Format,;rate,71863
Brigid,Halliwell,F,601,643-8842,BYRAM,MS,39272,S,Y,45000,5.0,6000,0,1500,True,;Incorrect_Format,;rate,60610
Stven,Hjelsvold,M,305,537-5675,MELBOURNE,FL,32934,S,N,80000,0.0,0,0,0,True,;Incorrect_Format,;rate,147908
Boutros,Syrjanen,F,971,785-2341,PORTLAND,OR,97267,S,Y,40000,9.0,159,0,159,True,;Incorrect_Format,;rate,61352
Jinhua,Levergood,M,847,385-7252,SHABBONA,IL,60550,M,N,50000,3.0,0,4000,0,True,;Incorrect_Format,;rate,184377
Libby,Smotrovs,M,205,130-1332,SAINT STEPHENS,AL,36569,M,N,60000,5.0,0,3000,0,True,;Incorrect_Format,;rate,138823
Raschid,Faradzev,F,843,400-5241,JONESVILLE,SC,29353,M,N,75000,7.0,0,6600,0,True,;Incorrect_Format,;rate,93210
Gudjon,Pruthi,F,309,991-2465,STEWARDSON,IL,62463,S,Y,30000,3.0,2000,0,2000,True,;Incorrect_Format,;rate,20953
Meenakshy,Rauch,F,205,323-2659,ALBERTVILLE,AL,35951,M,Y,85000,5.0,0,3000,300,True,;Incorrect_Format,;rate,140332
Yooichi,Kneece,F,865,246-7051,SPARTA,TN,38583,M,Y,30000,0.0,0,0,0,True,;Incorrect_Format,;rate,156119
Pedrito,Simha,M,815,213-9046,PRINCEVILLE,IL,61559,M,N,10000,3.0,0,4000,0,True,;Incorrect_Format,;rate,35178
Jaswinder,Karl,M,202,673-9537,WASHINGTON,DC,20544,M,Y,45000,9.0,0,2740,1370,True,;Incorrect_Format,;rate,153126
Rivka,Tsvetovat,F,702,298-5707,NORTH LAS VEGAS,NV,89033,M,N,55000,0.0,0,0,0,True,;Incorrect_Format,;rate,168008
Shunji,Stampfel,F,907,253-3383,PERRYVILLE,AK,99648,M,Y,30000,0.0,0,0,0,True,;Incorrect_Format,;rate,85755
Yuiti,Iliopoulos,M,307,156-4134,GREEN RIVER,WY,82935,M,Y,40000,0.0,0,0,0,True,;Incorrect_Format,;rate,112872
Sachem,Aimeur,F,501,822-7926,GENTRY,AR,72734,S,N,75000,7.0,20,0,0,True,;Incorrect_Format,;rate,198828
Papa,Weinand,F,772,293-1063,ORLANDO,FL,32853,S,N,100000,0.0,0,0,0,True,;Incorrect_Format,;rate,35368
Sharolyn,D''Agostino,M,217,389-3102,CHICAGO,IL,60668,M,Y,85000,3.0,0,4000,2000,True,;Incorrect_Format,;rate,145102
Tremaine,Vinek,F,864,572-5086,SLATER,SC,29683,S,Y,40000,7.0,3300,0,3300,True,;Incorrect_Format,;rate,118815
Karell,Bann,F,912,500-1162,MILLEDGEVILLE,GA,31059,M,N,65000,6.0,0,5400,0,True,;Incorrect_Format,;rate,181298
Harm,Manthey,M,573,953-8028,CRYSTAL CITY,MO,63019,S,Y,80000,6.0,2100,0,1200,True,;Incorrect_Format,;rate,187783
Yogendra,Stiles,F,501,723-3768,CALICO ROCK,AR,72519,M,N,30000,7.0,0,40,0,True,;Incorrect_Format,;rate,32132
Boonserm,Vassilyev,M,205,487-4762,MONTGOMERY,AL,36191,S,Y,50000,5.0,1500,0,300,True,;Incorrect_Format,;rate,96976
Yerucham,Penniman,F,605,107-4137,KEYSTONE,SD,57751,S,Y,40000,0.0,0,0,0,True,;Incorrect_Format,;rate,37600
Yihong,Kappner,F,251,400-7429,BURNWELL,AL,35038,M,N,60000,5.0,0,3000,0,True,;Incorrect_Format,;rate,32961
Jacqueline,Pantano,F,907,890-5428,WILLOW,AK,99688,S,N,80000,0.0,0,0,0,True,;Incorrect_Format,;rate,60701
Carrel,Lappalainen,F,541,938-6901,MARCOLA,OR,97454,S,N,10000,9.0,159,0,0,True,;Incorrect_Format,;rate,10946
Atif,Gloy,M,417,908-3135,JACKSON,MO,63755,S,Y,30000,6.0,2100,0,1200,True,;Incorrect_Format,;rate,51179
Xuerong,Leutenegger,M,702,654-4539,HIKO,NV,89017,S,Y,25000,0.0,0,0,0,True,;Incorrect_Format,;rate,132981
Denis,Maquelin,F,501,988-7458,YORKTOWN,AR,71678,S,N,55000,7.0,20,0,0,True,;Incorrect_Format,;rate,114696
Avaneendra,Kottkamp,F,541,129-3548,VALE,OR,97918,S,N,40000,9.0,159,0,0,True,;Incorrect_Format,;rate,126367
Upender,Ozeri,F,307,948-8679,FAIRVIEW,WY,83119,S,Y,65000,0.0,0,0,0,True,;Incorrect_Format,;rate,149654
Zhonghui,Daul,F,386,330-4163,MARGATE,FL,33093,M,N,75000,0.0,0,0,0,True,;Incorrect_Format,;rate,190910
Lisbeth,Praus,F,907,127-5369,SHAKTOOLIK,AK,99771,M,Y,30000,0.0,0,0,0,True,;Incorrect_Format,;rate,71522
Claudionor,Deverell,F,775,105-3825,WEST WENDOVER,NV,89883,M,N,10000,0.0,0,0,0,True,;Incorrect_Format,;rate,72227
Loic,Rotzell,F,870,859-6590,SPRINGDALE,AR,72766,M,Y,85000,7.0,0,40,20,True,;Incorrect_Format,;rate,140788
Truong,Ehrenberger,F,859,282-9994,DIXON,KY,42409,M,Y,85000,6.0,0,40,20,True,;Incorrect_Format,;rate,20969
Taketo,Rosencrans,M,786,446-2627,ELKTON,FL,32033,M,N,45000,0.0,0,0,0,True,;Incorrect_Format,;rate,153188
Amparo,Zadeh,M,907,302-8687,MOOSE PASS,AK,99631,S,N,15000,0.0,0,0,0,True,;Incorrect_Format,;rate,47426
Micha,Gerling,F,601,217-4486,BOGUE CHITTO,MS,39629,S,Y,20000,5.0,6000,0,1500,True,;Incorrect_Format,;rate,163893
Eizo,Hehmann,F,601,552-9332,LENA,MS,39094,S,N,90000,5.0,6000,0,0,True,;Incorrect_Format,;rate,120297
Sheldon,Felciano,F,941,155-9299,ENGLEWOOD,FL,34295,S,Y,20000,0.0,0,0,0,True,;Incorrect_Format,;rate,187558
Kanchana,Gerace,M,307,215-2672,BURLINGTON,WY,82411,S,Y,50000,0.0,0,0,0,True,;Incorrect_Format,;rate,127909
Berndt,Sherrell,M,205,618-4941,BRUNDIDGE,AL,36010,S,N,75000,5.0,1500,0,0,True,;Incorrect_Format,;rate,64580
Robert,Koymen,M,615,274-1437,WILLIAMSPORT,TN,38487,S,Y,80000,0.0,0,0,0,True,;Incorrect_Format,;rate,126988
Mitsuho,Varvel,M,731,684-9145,FINGER,TN,38334,S,N,20000,0.0,0,0,0,True,;Incorrect_Format,;rate,17109
Oystein,Upadhyaya,M,307,891-3627,GUERNSEY,WY,82214,M,N,85000,0.0,0,0,0,True,;Incorrect_Format,;rate,57445
Zhaoqian,Abella,M,314,160-9843,NEW CAMBRIA,MO,63558,S,N,75000,6.0,2100,0,0,True,;Incorrect_Format,;rate,155461
Piew,Stolcke,F,775,799-3012,SPARKS,NV,89435,M,Y,70000,0.0,0,0,0,True,;Incorrect_Format,;rate,4503
Cong,Takayama,M,318,546-1520,MADISONVILLE,LA,70447,M,Y,30000,6.0,0,9000,1000,True,;Incorrect_Format,;rate,188962
Aria,Cooke,F,864,988-1717,MONCKS CORNER,SC,29461,S,Y,65000,7.0,3300,0,3300,True,;Incorrect_Format,;rate,36092
Iyad,Lukanowicz,F,312,563-4992,SAINT LIBORY,IL,62282,M,Y,55000,3.0,0,4000,2000,True,;Incorrect_Format,;rate,23851
Nataraj,Preus,M,478,468-3279,MORELAND,GA,30259,S,N,85000,6.0,2700,0,0,True,;Incorrect_Format,;rate,17803
Hesham,Arnette,F,360,394-1645,CHINOOK,WA,98614,M,N,45000,0.0,0,0,0,True,;Incorrect_Format,;rate,50068
Gopalan,Angel,F,307,900-7502,ARVADA,WY,82831,S,N,85000,0.0,0,0,0,True,;Incorrect_Format,;rate,55630
Galeno,Grinter,F,956,328-3350,SAN ANGELO,TX,76901,S,N,50000,0.0,0,0,0,True,;Incorrect_Format,;rate,24505
Ender,Wetprasit,M,601,742-2418,MADDEN,MS,39109,M,Y,15000,5.0,0,12000,1500,True,;Incorrect_Format,;rate,4223
Johanne,Buehler,F,907,416-5656,RAMPART,AK,99767,S,N,45000,0.0,0,0,0,True,;Incorrect_Format,;rate,61690
Vishweshwar,Dupre,M,202,681-5045,WASHINGTON,DC,20009,M,Y,30000,9.0,0,2740,1370,True,;Incorrect_Format,;rate,91626
Akhilish,Raha,M,318,153-4884,CLAYTON,LA,71326,S,N,95000,6.0,4500,0,0,True,;Incorrect_Format,;rate,80546
Wladslaw,Dichev,F,618,468-9431,DOVER,IL,61323,S,Y,80000,3.0,2000,0,2000,True,;Incorrect_Format,;rate,32523
Apkar,Coe,M,678,511-1042,ATLANTA,GA,31199,S,N,80000,6.0,2700,0,0,True,;Incorrect_Format,;rate,182138
Rafik,Loganantharaj,F,815,365-2197,STANDARD,IL,61363,M,Y,25000,3.0,0,4000,2000,True,;Incorrect_Format,;rate,21631
Catarina,Dress,M,859,766-8007,CHAPLIN,KY,40012,M,N,95000,6.0,0,40,0,True,;Incorrect_Format,;rate,25923
Ursel,Irland,M,509,942-3828,EPHRATA,WA,98823,M,N,25000,0.0,0,0,0,True,;Incorrect_Format,;rate,7783
Coco,Vignes,F,360,548-5600,ARIEL,WA,98603,M,Y,5000,0.0,0,0,0,True,;Incorrect_Format,;rate,125437
Ronda,Madnick,M,907,518-1201,KARLUK,AK,99608,S,N,35000,0.0,0,0,0,True,;Incorrect_Format,;rate,150579
Costas,Flavell,M,605,501-1263,FEDORA,SD,57337,S,Y,25000,0.0,0,0,0,True,;Incorrect_Format,;rate,149966
Elisha,Zumbusch,F,202,316-7789,WASHINGTON,DC,20401,M,N,85000,9.0,0,2740,0,True,;Incorrect_Format,;rate,86638
Yoneo,Uellner,F,985,712-6119,NEW ORLEANS,LA,70122,S,Y,55000,6.0,4500,0,1000,True,;Incorrect_Format,;rate,196103
Namyun,Trachtman,F,256,811-6635,BREWTON,AL,36426,M,Y,30000,5.0,0,3000,300,True,;Incorrect_Format,;rate,95696
Suzana,Lahire,F,404,426-7685,MILLEDGEVILLE,GA,31059,M,Y,100000,6.0,0,5400,3000,True,;Incorrect_Format,;rate,142218
Ganapathy,Opatrny,M,615,700-3086,MEMPHIS,TN,38120,M,N,90000,0.0,0,0,0,True,;Incorrect_Format,;rate,15346
Clenn,Tohma,M,803,461-3930,WEST COLUMBIA,SC,29171,S,N,40000,7.0,3300,0,0,True,;Incorrect_Format,;rate,164463
Seongbin,Tickle,M,253,409-5480,KELLER,WA,99140,M,N,85000,0.0,0,0,0,True,;Incorrect_Format,;rate,165663
Beng,Mittra,F,509,904-7990,COLLEGE PLACE,WA,99324,M,N,40000,0.0,0,0,0,True,;Incorrect_Format,;rate,111398
Honari,Koshors,F,386,806-4686,STUART,FL,34996,S,Y,100000,0.0,0,0,0,True,;Incorrect_Format,;rate,80180
Aviezri,Zallocco,M,907,210-8793,RED DEVIL,AK,99656,S,N,40000,0.0,0,0,0,True,;Incorrect_Format,;rate,115735
Uptal,Rufino,M,706,342-2763,MORROW,GA,30260,M,Y,65000,6.0,0,5400,3000,True,;Incorrect_Format,;rate,194883
Yik,Creveuil,F,239,113-4369,SARASOTA,FL,34277,M,N,15000,0.0,0,0,0,True,;Incorrect_Format,;rate,13719
Donato,Buttelmann,F,985,328-5305,BATON ROUGE,LA,70893,M,Y,80000,6.0,0,9000,1000,True,;Incorrect_Format,;rate,182460
Natacha,Munos,F,605,286-1877,RAPID CITY,SD,57709,S,Y,90000,0.0,0,0,0,True,;Incorrect_Format,;rate,184024
Fusatake,Fargeaud,M,678,361-8941,EPWORTH,GA,30541,S,N,25000,6.0,2700,0,0,True,;Incorrect_Format,;rate,166605
Mujdat,Mizutani,M,907,744-4656,CRAIG,AK,99921,S,N,25000,0.0,0,0,0,True,;Incorrect_Format,;rate,15555
Weicong,Obermaier,M,907,995-7237,WASILLA,AK,99623,M,N,45000,0.0,0,0,0,True,;Incorrect_Format,;rate,195156
Gyusang,Berrada,M,202,243-2918,WASHINGTON,DC,20076,S,Y,80000,9.0,1370,0,1370,True,;Incorrect_Format,;rate,26678
Khatoun,Musto,F,815,229-7784,NEW LENOX,IL,60451,M,N,75000,3.0,0,4000,0,True,;Incorrect_Format,;rate,166382
Breannda,Didic,M,615,937-9618,CHATTANOOGA,TN,37409,M,Y,25000,0.0,0,0,0,True,;Incorrect_Format,;rate,84490
Tyko,Graeb,F,770,168-4630,TY TY,GA,31795,M,Y,100000,6.0,0,5400,3000,True,;Incorrect_Format,;rate,192724
Hantak,Kuivila,F,202,323-2350,WASHINGTON,DC,20420,S,N,75000,9.0,1370,0,0,True,;Incorrect_Format,;rate,59536
Sasikumar,Jacquet,F,907,355-9587,PORT ALEXANDER,AK,99836,M,N,5000,0.0,0,0,0,True,;Incorrect_Format,;rate,145041
Refael,Prodiner,F,815,691-4444,PALATINE,IL,60038,S,Y,70000,3.0,2000,0,2000,True,;Incorrect_Format,;rate,30148
Moredachi,Monkewich,F,615,129-9408,NASHVILLE,TN,37217,M,N,45000,0.0,0,0,0,True,;Incorrect_Format,;rate,181671
Serenella,Brookman,F,256,251-7797,WADLEY,AL,36276,M,N,55000,5.0,0,3000,0,True,;Incorrect_Format,;rate,12087
Zhixing,Marsiglia,M,605,840-8117,WALLACE,SD,57272,M,Y,85000,0.0,0,0,0,True,;Incorrect_Format,;rate,6039
Sadeph,Leuchs,M,254,165-1664,PRESIDIO,TX,79845,M,N,10000,0.0,0,0,0,True,;Incorrect_Format,;rate,91855
Helene,Zinaty,M,618,301-8292,CARBONDALE,IL,62903,S,Y,45000,3.0,2000,0,2000,True,;Incorrect_Format,;rate,141087
Zesheng,Kroll,F,907,530-2822,SELDOVIA,AK,99663,M,Y,55000,0.0,0,0,0,True,;Incorrect_Format,;rate,138212
Vitaliano,Angeline,M,404,900-6107,ATLANTA,GA,31193,S,Y,25000,6.0,2700,0,3000,True,;Incorrect_Format,;rate,145859
Shahab,Shanbhogue,F,270,673-5601,CURDSVILLE,KY,42334,M,Y,85000,6.0,0,40,20,True,;Incorrect_Format,;rate,2610
Hennie,Ouellet,M,425,374-2161,SEATTLE,WA,98175,S,Y,85000,0.0,0,0,0,True,;Incorrect_Format,;rate,140003
Xiaoqiu,Older,M,605,954-9066,SAINT LAWRENCE,SD,57373,M,N,95000,0.0,0,0,0,True,;Incorrect_Format,;rate,160786
Manolis,Kottkamp,M,541,627-7592,SALEM,OR,97304,M,N,100000,9.0,0,318,0,True,;Incorrect_Format,;rate,54516
Hendra,Lucas,F,912,524-3545,BAXLEY,GA,31515,S,N,15000,6.0,2700,0,0,True,;Incorrect_Format,;rate,45706
Devindra,Dicky,F,605,476-5867,AVON,SD,57315,M,N,50000,0.0,0,0,0,True,;Incorrect_Format,;rate,31714
Shay,Valkema,F,606,705-1819,STONEY FORK,KY,40988,S,N,80000,6.0,20,0,0,True,;Incorrect_Format,;rate,179927
Youngsong,Kessler,M,478,646-9661,BUFORD,GA,30518,M,Y,50000,6.0,0,5400,3000,True,;Incorrect_Format,;rate,60957
Wenqui,Katoen,F,312,369-5830,GREAT LAKES,IL,60088,M,N,65000,3.0,0,4000,0,True,;Incorrect_Format,;rate,120255
Arjen,Raschia,M,816,534-3467,URBANA,MO,65767,S,Y,65000,6.0,2100,0,1200,True,;Incorrect_Format,;rate,193177
Neila,Vandervoorde,M,803,797-7536,GREENVILLE,SC,29609,S,N,65000,7.0,3300,0,0,True,;Incorrect_Format,;rate,75990
